Empresa,Segmento,Cidade/Estado,Website,Porte Estimado (Equipe/Receita),Por que é um bom fit para Game Sales
Rodobens Seguros,Corretora de Seguros,São José do Rio Preto/SP,https://www.rodobens.com.br,Média-grande; parte do grupo Rodobens,Grupo diversificado com corretora de seguros; equipe comercial estruturada que precisa de visibilidade sobre pipeline
Seguros do Brasil,Corretora de Seguros,Nacional,https://segurosdobrasil.com.br,Média; atuação nacional,Corretora nacional com equipe de vendedores que precisa de gestão de pipeline e acompanhamento de metas

# SEGMENTO 3: EMPRESAS SaaS (Software as a Service)
Ploomes,SaaS (CRM),São Paulo/SP,https://www.ploomes.com,Maior CRM da América Latina; ~50-100 funcionários,Embora seja CRM eles mesmos precisam de gamificação interna para sua equipe de vendas; modelo SaaS B2B com SDRs
Moskit CRM,SaaS (CRM),São Paulo/SP,https://www.moskitcrm.com,Pequena-média; equipe em crescimento,Empresa de CRM com equipe comercial própria; precisa de ferramentas de gamificação para motivar vendedores internos
Omie,SaaS (ERP),São Paulo/SP,https://www.omie.com.br,Média-grande; R$2.7M ARR médio do setor,ERP para PMEs com grande equipe de vendas; modelo de inside sales que se beneficia de ranking e tracking
RD Station,SaaS (Marketing/Vendas),Florianópolis/SC,https://www.rdstation.com,Grande; líder em inbound marketing Brasil,Equipe de vendas B2B robusta; modelo de SDR + closer ideal para ranking gamificado e pipeline CRM
Pipefy,SaaS (BPM),Curitiba/PR,https://www.pipefy.com,Média-grande; série C; presença global,Equipe de vendas inside sales com SDRs e AEs; precisa de motivação e tracking de performance comercial
ContaAzul,SaaS (Gestão),Joinville/SC,https://contaazul.com,Média; sistema de gestão para micro/pequenas empresas,Equipe comercial que vende para PMEs via inside sales; modelo ideal para gamificação de metas
Meetime,SaaS (Sales Engagement),Florianópolis/SC,https://www.meetime.com.br,Pequena-média; especialista em inside sales,Empresa de sales engagement com equipe comercial própria; fit perfeito com produto de gamificação de vendas
Ramper,SaaS (Outbound Marketing),São Paulo/SP,https://www.ramper.com.br,Pequena-média; foco em geração de leads B2B,Equipe de vendas outbound que precisa de CRM e ranking para acompanhar prospecção e conversão
Runrun.it,SaaS (Gestão de Projetos),São Paulo/SP,https://runrun.it,Média; ~32 funcionários (mediana do setor),Equipe comercial B2B que vende para empresas; precisa de visibilidade sobre pipeline e performance
Olist,SaaS (E-commerce/Marketplace),Curitiba/PR,https://olist.com,Média-grande; múltiplos produtos,Equipe de vendas que atende lojistas; modelo de expansão acelerada que precisa de tracking de performance comercial

# SEGMENTO 4: AGÊNCIAS DE MARKETING DIGITAL (Digital Marketing Agencies)
V4 Company,Agência de Marketing Digital,Porto Alegre/RS,https://v4company.com,Grande; modelo de assessoria com franquias,Modelo de franquias de marketing com equipes comerciais distribuídas; precisa de ranking entre unidades e vendedores
Raccoon / Monks,Agência de Marketing Digital,São Carlos/SP,https://raccoon.gupy.io,450+ especialistas; clientes como Natura e Nubank,Grande equipe com componente comercial que prospecta grandes contas; precisa de pipeline CRM e tracking
Agência Mestre,Agência de Marketing Digital (SEO/Inbound),São Paulo/SP,https://www.agenciamestre.com,Média; 4x melhor agência digital do Brasil,Agência reconhecida com equipe comercial que vende projetos de marketing; pipeline complexo de vendas consultivas
Rock Content,Marketing de Conteúdo,Belo Horizonte/MG,https://rockcontent.com,Grande; líder em content marketing Brasil,Equipe de vendas B2B que vende serviços de conteúdo; modelo de inside sales ideal para gamificação
WnWeb,Agência de Marketing Digital,São Paulo/SP,https://www.wnweb.com.br,Pequena-média; foco em resultados e treinamento de vendas,Agência que treina equipes de vendas dos clientes; precisa de ferramenta para gerenciar seu próprio time comercial
INGAGE Digital,Agência de Marketing Digital (Inbound),São Paulo/SP,https://ingagedigital.com.br,Média; 10 anos de experiência,Agência com equipe comercial e de pré-vendas; qualificação de leads precisa de CRM e ranking
OUTMarketing,Agência de Marketing (TI/B2B),São Paulo/SP,https://outmarketing.com.br,Média; premiada pela RD Station,Agência B2B com foco em vendas e CRM; equipe comercial que prospecta empresas de TI
NP Digital Brasil,Agência de Marketing Digital,São Paulo/SP,https://npdigital.com/br/,Grande; fundada por Neil Patel,Agência de performance com equipe comercial para grandes contas; pipeline de vendas consultivas
GV8 Marketing Digital,Agência de Marketing Digital,Nacional,https://gv8.com.br,Média; 19 anos; 5.500+ clientes,Grande base de clientes com equipe comercial ativa; precisa de CRM e ranking para gestão de vendedores
i-Cherry,Agência de Marketing Digital,São Paulo/SP,https://icherry.com.br,Média (100-999 colaboradores); líder GPTW,Agência de médio porte com equipe comercial estruturada; ideal para plano Pro com gestão de equipe

# SEGMENTO 5: ENERGIA SOLAR (Solar Energy)
SolarVolt,Integradora de Energia Solar,Belo Horizonte/MG,https://solarvolt.com.br,1.500+ projetos; 11 estados; 60.000 kWp instalados,Grande equipe comercial que vende projetos solares; pipeline longo de vendas consultivas ideal para CRM
HCC Energia Solar,Integradora de Energia Solar,Nacional,https://hccenergiasolar.com.br,19+ anos; maior especialista solar do Brasil,Equipe de vendas técnica que prospecta residências e empresas; precisa de ranking e tracking de vendedores por região
Aldo Solar,Distribuidora de Equipamentos Solares,Araucária/PR,https://www.aldo.com.br,11.000+ clientes ativos; 160.000 geradores vendidos,Maior distribuidora com equipe comercial para atender integradores; ranking de vendedores por região/segmento
Solfácil,Ecossistema Solar (Fintech+Distribuição),São Paulo/SP,https://solfacil.com.br,Maior ecossistema solar da América Latina,Equipe comercial que atende integradores com financiamento e equipamentos; pipeline massivo que precisa de CRM
Genyx Solar,Distribuidora de Energia Solar,Fortaleza/CE,https://www.lp.genyx.com.br,17.000+ integradores atendidos; forte no Nordeste/Agro,Equipe comercial em rápido crescimento reforçando presença em todos os estados; gamificação ideal para motivar time
NeoSolar,Distribuidora/Integradora Solar,São Paulo/SP,https://www.neosolar.com.br,20+ anos de experiência; revendedores e instaladores,Equipe técnico-comercial que atende revendedores; pipeline de vendas B2B que precisa de tracking
Fortlev Energia Solar,Fabricante/Integradora Solar,Nacional,https://fortlevsolucoes.com.br,Grande; líder do mercado,Empresa líder com equipe de vendas nacional; precisa de visibilidade sobre performance regional
Eco Soluções em Energia,Integradora de Energia Solar,Nacional,https://ecosolucoes.com.br,100+ profissionais (engenheiros; arquitetos; etc),Grande equipe multidisciplinar com vendedores técnicos; pipeline de projetos complexos
Mitratech Energia Solar,Integradora de Energia Solar,Nacional,mitratech.com.br,Média; entre as maiores do Brasil,Equipe comercial que vende projetos residenciais e empresariais; ranking por tipo de projeto e região
Topsun Energia Solar,Integradora de Energia Solar,Nacional,topsun.com.br,Média; reconhecida entre as maiores integradoras,Equipe de vendedores consultivos; pipeline de médio/longo prazo ideal para CRM e gamificação

# SEGMENTO 6: CONCESSIONÁRIAS DE VEÍCULOS (Car Dealerships)
Grupo Barigüi,Concessionária de Veículos,Curitiba/PR (Sul do Brasil),https://grupobarigui.com.br,3.040 colaboradores; 78 concessionárias; 19 marcas,Maior do Sul com milhares de vendedores distribuídos em 78 lojas; precisa de ranking gamificado entre unidades e vendedores
Grupo Saga,Concessionária de Veículos,Brasília/DF (Nacional),https://www.gruposaga.com.br,110+ lojas; 19 marcas de carros e motos,Grande rede com mais de 100 lojas; visibilidade sobre performance de vendedores em múltiplas unidades é essencial
Grupo Sinal,Concessionária de Veículos,São Paulo/SP (Grande SP; Baixada Santista; ABC),https://www.gruposinal.com.br,Média-grande; rede regional SP,Rede concentrada em SP com múltiplas lojas; ranking entre vendedores e lojas; CRM para follow-up de clientes
Grupo Dahruj,Concessionária de Veículos (Chevrolet/Fiat/Honda/BYD),Campinas/SP,https://www.grupodahruj.com.br,500+ famílias de colaboradores; líder em vendas,Grupo multimarcas com grande equipe de vendas; comissão por venda torna ranking gamificado muito atrativo
Grupo Newland,Concessionária de Veículos,Fortaleza/CE (Nordeste),https://www.newlandselect.com.br,30 anos; participação acima da média nacional,Maior grupo de concessionárias do Nordeste; equipe de vendedores que precisa de motivação e tracking
DPaschoal,Rede de Autopeças/Veículos,Campinas/SP,https://www.dpaschoal.com.br,Grande; rede nacional com centenas de lojas,Rede com equipe de vendas em múltiplas lojas; ranking entre unidades e vendedores; integração WhatsApp para atendimento
Localiza Seminovos,Venda de Seminovos,Belo Horizonte/MG,https://www.localizaseminovos.com.br,Grande; parte do grupo Localiza,Operação de venda de seminovos com vendedores em múltiplas lojas; pipeline CRM e ranking de performance
AutoForce,Plataforma Digital para Concessionárias,Natal/RN,https://www.autoforce.com,Média; plataforma de marketing automotivo,Plataforma que atende concessionárias e tem equipe comercial própria; vende para dealerships (meta-prospecto)
Sances Automotive,Gestão para Concessionárias,Nacional,https://www.sances.com.br,Média; consultoria para ecossistema automotivo,Consultoria que ajuda concessionárias a vender mais; equipe comercial que prospecta concessionárias
Movida Seminovos,Venda de Seminovos,Nacional,https://www.movida.com.br/seminovos,Grande; parte do grupo Movida/Simpar,Operação nacional de venda de seminovos com vendedores distribuídos; ranking e CRM essenciais

# SEGMENTO 7: EDUCAÇÃO / INFOPRODUTOS (Education / Digital Products)
Hotmart,Plataforma de Infoprodutos,Belo Horizonte/MG,https://hotmart.com,26M+ usuários; 420k+ produtos; presença global,Equipe comercial B2B que vende para produtores; grande time de vendas que precisa de ranking e CRM
Fluency Academy,Edtech (Idiomas Online),Curitiba/PR,https://www.fluencyacademy.io,R$500M+ em faturamento líquido na Hotmart,Empresa de cursos com equipe de vendas para captação de alunos; pipeline de conversão ideal para CRM gamificado
Descomplica,Edtech (Educação Digital),Rio de Janeiro/RJ,https://descomplica.com.br,Grande; fundada em 2011; milhares de alunos,Equipe comercial para venda de planos e parcerias corporativas; precisa de tracking de performance
Alura,Edtech (Tecnologia),São Paulo/SP,https://www.alura.com.br,Grande; maior escola de tech online do Brasil; ecossistema completo,Equipe de vendas B2B (Alura para Empresas) que prospecta corporações; pipeline consultivo
EBAC Online,Edtech (Design/Tech),São Paulo/SP,https://ebaconline.com.br,Média; cursos criativos e tecnológicos,Equipe de vendas que converte leads em matrículas; CRM e ranking para acompanhar consultores educacionais
Digital House,Edtech (Tech/Digital),São Paulo/SP,https://www.digitalhouse.com/br,Média; reconhecida GSV EdTech 150,Equipe comercial para venda de cursos B2B e B2C; pipeline de matrículas com ciclo de vendas definido
Empiricus,Fintech/Infoprodutos (Investimentos),São Paulo/SP,https://www.empiricus.com.br,Grande; fundada em 2009; conteúdo financeiro,Equipe de vendas de assinaturas e cursos financeiros; modelo de conversão massiva que precisa de ranking
Kiwify,Plataforma de Infoprodutos,São Paulo/SP,https://kiwify.com.br,Média-grande; competidora da Hotmart,Equipe comercial que atrai produtores para a plataforma; pipeline B2B e ranking de performance
Eduzz,Plataforma de Infoprodutos,São Paulo/SP,https://www.eduzz.com,Média; concorrente da Hotmart,Equipe de vendas B2B para aquisição de produtores; CRM para gestão de parceiros e afiliados
Monetizze,Plataforma de Infoprodutos,Belo Horizonte/MG,https://www.monetizze.com.br,Média; foco em conversão,Equipe comercial para onboarding de produtores; múltiplas categorias de produtos exigem CRM robusto

# SEGMENTO 8: TELECOMUNICAÇÕES / PROVEDORES (Telecom / ISPs)
Brisanet,Provedor de Internet Regional,Pereiro/CE (Nordeste),https://www.brisanet.com.br,Grande; 500k+ clientes; 80+ cidades; listada B3 (BRIT3),Equipe comercial regional com vendedores porta-a-porta e lojas; ranking entre cidades e vendedores
Desktop,Provedor de Internet Regional,Marília/SP (Interior de SP),https://www.desktop.com.br,809k+ contratos; listada B3 (DESK3),Equipe de vendas em rápida expansão no interior de SP; precisa de gamificação para motivar vendedores field
Unifique,Provedor de Internet Regional,Timbó/SC (Sul),https://www.unifique.com.br,115+ cidades; meta 1M assinantes; listada B3 (FIQE3),Equipe comercial no Sul do Brasil; ranking entre cidades e vendedores; CRM para gestão de pipeline de novos assinantes
Algar Telecom,Telecom Regional,Uberlândia/MG,https://www.algartelecom.com.br,Grande; operadora 100% brasileira; fundada em 1965,Equipe comercial que vende planos para residencial e empresarial; ranking por segmento e região
Algar Franquias,Franquia de Telecom,Uberlândia/MG,https://algarfranquias.com.br,Modelo de franquia de telecomunicações,Rede de franquias com vendedores em cada unidade; precisa de ranking entre franqueados e gamificação
Voipmundo Telecom,Telecom (Wholesale/VoIP),Nacional,https://voipmundotelecom.com.br,Média; atende operadoras e provedores,Equipe comercial B2B que vende para operadoras e revendas; pipeline de vendas consultivas
Skynova (ISPs),Programa para ISPs,Nacional,https://skynova.com.br,Média; programa de franquias para ISPs,Rede de ISPs com modelo de franquia; equipe comercial que prospecta novos franqueados e acompanha performance
Meira ISP,Consultoria para Provedores,Nacional,https://meiraisp.com.br,Média; 20+ anos no setor,Consultoria que ajuda ISPs a montar equipes comerciais; equipe própria de vendas consultivas
ISP4 Consultoria,Consultoria para Provedores,São Paulo/SP,https://isp4.net.br,Média; 15 anos em operações comerciais,Consultoria especializada em desenvolvimento de equipes de vendas para ISPs; equipe própria que precisa de CRM
Copel Telecom,Telecom Regional,Curitiba/PR,https://www.copeltelecom.com,Grande; subsidiária da Copel,Equipe comercial que vende planos de internet; ranking entre vendedores e lojas no Paraná

# SEGMENTO 9: FRANQUIAS (Franchise Networks)
Cacau Show,Franquia (Chocolates),Itapevi/SP,https://www.cacaushow.com.br,4.700 lojas; maior franquia do Brasil,Franqueados com vendedores em cada loja; ranking entre unidades motivaria rede; gestão de vendas por loja
O Boticário,Franquia (Cosméticos),São José dos Pinhais/PR,https://www.boticario.com.br,3.900+ lojas; 2ª maior franquia,Rede massiva com vendedores/consultoras por loja; gamificação de vendas por unidade e campanha
Chilli Beans,Franquia (Acessórios/Óculos),São Paulo/SP,https://www.chillibeans.com.br,1.236 unidades; converteu lojas próprias em franquias,Rede em expansão com equipe de vendas por loja; recém-convertida para modelo franquia precisa de padronização
Wizard by Pearson,Franquia (Idiomas),Campinas/SP,https://www.wizard.com.br,Top 20 maiores franquias; rede nacional,Equipe de vendas para captação de alunos em cada unidade; ranking entre unidades motivaria franqueados
CNA Idiomas,Franquia (Idiomas),São Paulo/SP,https://www.cna.com.br,768 unidades; tradição em ensino,Cada unidade tem equipe comercial para vender matrículas; gamificação entre unidades e vendedores
Kumon,Franquia (Educação),São Paulo/SP,https://www.kumon.com.br,1.554 unidades; microfranquia,Franqueados que vendem matrículas; ranking entre unidades por cidade/região; pricing Starter/Plus ideal
Odontoclinic,Franquia (Odontologia),São Paulo/SP,https://www.franquiaodontoclinic.com.br,250 clínicas; 2.500 dentistas; 1M+ clientes,Equipe comercial em cada clínica que vende planos odontológicos; ranking entre unidades; CRM para follow-up
Havaianas,Franquia (Calçados),São Paulo/SP,https://www.havaianas.com.br,574 unidades; marca global,Vendedores em cada loja; ranking entre franqueados por performance de vendas
OdontoCompany,Franquia (Odontologia),São Paulo/SP,https://www.odontocompany.com,Maior rede de clínicas odontológicas do Brasil,Equipe de vendas em cada clínica para planos e tratamentos; ranking e CRM para conversão de pacientes
Óticas Carol,Franquia (Óticas),Campinas/SP,https://www.oticascarol.com.br,1.400+ lojas; maior rede de óticas,Vendedores em cada loja; pipeline de vendas consultivas de óculos; ranking entre unidades

# SEGMENTO 10: SERVIÇOS FINANCEIROS (Financial Services)
Portfel Consultoria,Consultoria Financeira (XP),Nacional,https://portfel.com.br,R$17 bi sob consulta; 600+ consultores; 20k clientes,600 consultores financeiros em todos os estados; ranking de performance por consultor e região é essencial
EQI Investimentos,Assessoria de Investimentos,Balneário Camboriú/SC,https://eqi.com.br,Grande; escritórios em 7 estados; ex-assessoria agora corretora,Grande equipe de assessores distribuída; precisa de ranking e tracking de captação por assessor
Monte Bravo,Assessoria de Investimentos (XP),São Paulo/SP,https://www.montebravo.com.br,R$45 bi sob assessoria; melhor escritório Brasil,Equipe de assessores de investimento; ranking de captação e performance de vendas de produtos financeiros
Nippur Finance,Assessoria de Investimentos (XP),Curitiba/PR,https://www.nippur.com.br,R$12 bi sob assessoria; 18 escritórios em 17 cidades,Equipe distribuída em 18 escritórios no Sul e DF; precisa de ranking entre unidades e assessores
Warren,Corretora/Assessoria Digital,Porto Alegre/RS,https://warren.com.br,Média-grande; modelo digital com assessores,Equipe de assessores com modelo de remuneração recorrente; gamificação para motivar crescimento de carteira
Nord Investimentos / Nord Wealth,Consultoria de Investimentos (BTG),São Paulo/SP,https://www.nordinvestimentos.com.br,1ª lugar ranking consultorias BTG,Equipe de consultores de investimento; ranking de performance e captação de clientes
Multi Wealth Family Office,Family Office/Consultoria,São Paulo/SP,https://mwfamilyoffice.com.br,Média; parceiros BTG e XP,Equipe multidisciplinar que vende serviços de consultoria; pipeline de clientes de alta renda
SR Consultoria Financeira,Consultoria Financeira,Nacional,https://srconsultoriafinanceira.com.br,Pequena-média; atuação nacional,Equipe de consultores que vendem serviços de planejamento financeiro; CRM para gestão de pipeline
Praxys Consultoria Financeira,Consultoria Financeira,São Paulo/SP,praxys.com.br,Média; consultoria especializada,Equipe comercial de consultores financeiros; pipeline de vendas consultivas B2B
Riviera Consultoria Financeira,Consultoria Financeira,São Paulo/SP,riveira.com.br,Média; assessoria e consultoria,Equipe de vendas de serviços financeiros; CRM e ranking para acompanhar conversão de clientes
